task_id,one-shot,fixed-workflow,tool-agent-no-reflection,full-reflective-agent,origin_type,difficulty,defect_category
mutmut-txt-mutmut-textdata-core-x-mask-email-mutmut-17,1,1,1,1,mutmut,easy,mutmut_arithmetic
mutmut-txt-mutmut-textdata-core-x-normalize-newlines-mutmut-1,1,1,1,1,mutmut,easy,mutmut_constant
mutmut-txt-mutmut-textdata-core-x-normalize-spaces-mutmut-1,1,1,1,1,mutmut,easy,mutmut_constant
mutmut-txt-mutmut-textdata-core-x-parse-csv-line-mutmut-1,1,1,1,0,mutmut,medium,mutmut_boolean
mutmut-txt-mutmut-textdata-core-x-parse-key-values-mutmut-19,1,1,0,1,mutmut,medium,mutmut_boolean
mutmut-txt-mutmut-textdata-core-x-redact-terms-mutmut-12,0,0,0,0,mutmut,easy,mutmut_arithmetic
mutmut-txt-mutmut-textdata-core-x-remove-duplicate-words-mutmut-4,1,1,1,1,mutmut,medium,mutmut_boolean
mutmut-txt-mutmut-textdata-core-x-slugify-mutmut-10,0,0,0,0,mutmut,easy,mutmut_arithmetic
mutmut-txt-mutmut-textdata-core-x-split-sentences-mutmut-2,1,1,1,1,mutmut,easy,mutmut_arithmetic
mutmut-txt-mutmut-textdata-core-x-strip-prefixes-mutmut-1,1,1,1,1,mutmut,easy,mutmut_constant
