grouping,level,condition,runs,hidden_verified_successes,hidden_verified_rate,hidden_ci95_low,hidden_ci95_high,visible_successes,mean_elapsed_seconds,parse_failure_runs
defect_category,stateful_window_algorithm,fixed-workflow,1,0,0.0,0.0,0.7934506856227626,0,1.1042742429999637,1
defect_category,transactional_state_management,fixed-workflow,1,0,0.0,0.0,0.7934506856227626,0,167.02090944299923,1
defect_category,cursor_state_protocol,full-reflective-agent,1,0,0.0,0.0,0.7934506856227626,0,231.584070859004,0
defect_category,graph_algorithm_invariant,full-reflective-agent,1,0,0.0,0.0,0.7934506856227626,0,491.601631392994,1
defect_category,idempotent_financial_state,full-reflective-agent,1,0,0.0,0.0,0.7934506856227626,0,269.2972997799952,1
defect_category,multi_line_interval_logic,full-reflective-agent,1,0,0.0,0.0,0.7934506856227626,0,302.89785361599934,1
defect_category,mutmut_arithmetic,full-reflective-agent,24,18,0.75,0.55100555994846,0.8800063377140499,18,246.1148874025824,6
defect_category,mutmut_boolean,full-reflective-agent,7,6,0.8571428571428571,0.4868721707256811,0.9743203756552565,7,232.9864595571427,0
defect_category,mutmut_boundary,full-reflective-agent,1,0,0.0,0.0,0.7934506856227626,0,170.47382532200572,1
defect_category,mutmut_collection,full-reflective-agent,5,3,0.6,0.2307242812760128,0.882379225767352,3,224.32517614500102,2
defect_category,mutmut_comparison,full-reflective-agent,2,2,1.0,0.34238022750665303,1.0,2,225.23378449400116,0
defect_category,mutmut_constant,full-reflective-agent,6,5,0.8333333333333334,0.43649717781352987,0.9699466302516935,6,237.22407296466676,0
defect_category,recursive_data_merge,full-reflective-agent,1,0,0.0,0.0,0.7934506856227626,0,404.9242564939996,1
defect_category,state_machine_parser,full-reflective-agent,1,0,0.0,0.0,0.7934506856227626,0,410.4518697439999,1
defect_category,stateful_window_algorithm,full-reflective-agent,1,0,0.0,0.0,0.7934506856227626,0,149.1138991340049,1
defect_category,transactional_state_management,full-reflective-agent,1,0,0.0,0.0,0.7934506856227626,0,267.4050415239981,1
defect_category,cursor_state_protocol,one-shot,1,0,0.0,0.0,0.7934506856227626,0,0.6558481970000685,0
defect_category,graph_algorithm_invariant,one-shot,1,0,0.0,0.0,0.7934506856227626,0,401.3472084780001,1
defect_category,idempotent_financial_state,one-shot,1,0,0.0,0.0,0.7934506856227626,0,160.9987877819999,0
defect_category,multi_line_interval_logic,one-shot,1,0,0.0,0.0,0.7934506856227626,0,163.88380679500003,0
defect_category,mutmut_arithmetic,one-shot,24,19,0.7916666666666666,0.5952954674681133,0.9075517464714814,19,81.32413229395827,3
defect_category,mutmut_boolean,one-shot,7,7,1.0,0.6456695649333126,1.0,7,100.73930905199995,1
defect_category,mutmut_boundary,one-shot,1,0,0.0,0.0,0.7934506856227626,0,0.5810685380001814,1
defect_category,mutmut_collection,one-shot,5,4,0.8,0.37553462976252533,0.9637758913675698,4,68.72868122999989,1
defect_category,mutmut_comparison,one-shot,2,2,1.0,0.34238022750665303,1.0,2,47.366585454499955,0
defect_category,mutmut_constant,one-shot,6,5,0.8333333333333334,0.43649717781352987,0.9699466302516935,6,74.04945318433322,0
defect_category,recursive_data_merge,one-shot,1,0,0.0,0.0,0.7934506856227626,0,163.38220839600012,0
defect_category,state_machine_parser,one-shot,1,0,0.0,0.0,0.7934506856227626,0,1.433392584999865,1
defect_category,stateful_window_algorithm,one-shot,1,0,0.0,0.0,0.7934506856227626,0,0.4849750729999869,1
defect_category,transactional_state_management,one-shot,1,0,0.0,0.0,0.7934506856227626,0,153.48076698500017,0
defect_category,cursor_state_protocol,tool-agent-no-reflection,1,0,0.0,0.0,0.7934506856227626,0,488.14751556600095,1
defect_category,graph_algorithm_invariant,tool-agent-no-reflection,1,0,0.0,0.0,0.7934506856227626,0,577.8596224860012,1
defect_category,idempotent_financial_state,tool-agent-no-reflection,1,0,0.0,0.0,0.7934506856227626,0,460.1762922480011,1
defect_category,multi_line_interval_logic,tool-agent-no-reflection,1,0,0.0,0.0,0.7934506856227626,0,523.0349273680004,1
defect_category,mutmut_arithmetic,tool-agent-no-reflection,24,14,0.5833333333333334,0.3883466586522876,0.7553239739018824,14,343.3973570540834,10
defect_category,mutmut_boolean,tool-agent-no-reflection,7,6,0.8571428571428571,0.4868721707256811,0.9743203756552565,7,379.0833165717143,1
defect_category,mutmut_boundary,tool-agent-no-reflection,1,0,0.0,0.0,0.7934506856227626,0,160.51452036299452,1
defect_category,mutmut_collection,tool-agent-no-reflection,5,4,0.8,0.37553462976252533,0.9637758913675698,4,291.1663635822006,1
defect_category,mutmut_comparison,tool-agent-no-reflection,2,2,1.0,0.34238022750665303,1.0,2,277.5756674259992,0
defect_category,mutmut_constant,tool-agent-no-reflection,6,5,0.8333333333333334,0.43649717781352987,0.9699466302516935,6,296.18331346433297,0
defect_category,recursive_data_merge,tool-agent-no-reflection,1,0,0.0,0.0,0.7934506856227626,0,503.7964041350024,1
defect_category,state_machine_parser,tool-agent-no-reflection,1,0,0.0,0.0,0.7934506856227626,0,562.5366391139978,1
defect_category,stateful_window_algorithm,tool-agent-no-reflection,1,0,0.0,0.0,0.7934506856227626,0,287.4425930739999,1
defect_category,transactional_state_management,tool-agent-no-reflection,1,0,0.0,0.0,0.7934506856227626,0,309.8374353319996,1
